,,Destruction,The Hunt,Erudition,Harmony,Nihility,Preservation,Abundance
Physical,5,Clara|Trailblazer|Yunli,Boothill,Argenti,Robin,,,
Physical,4,,Sushang,,Hanya,Luka,,Natasha
Fire,5,Firefly,Topaz & Numby,Himeko,,Jiaoqiu,Trailblazer,Lingsha
Fire,4,Hook,,,Asta,Guinaifen,,Gallagher
Ice,5,Jingliu,Yanqing,,Ruan Mei,,Gepard,
Ice,4,Misha,,Herta,,Pela,March 7th,
Lightning,5,,,Jing Yuan,,Acheron|Kafka,,Bailu
Lightning,4,Arlan,Moze,Serval,Tingyun,,,
Wind,5,Blade,Feixiao,,Bronya,Black Swan,,Huohuo
Wind,4,,Dan Heng,,,Sampo,,
Quantum,5,,Seele,Jade,Sparkle,Silver Wolf,Fu Xuan,
Quantum,4,Xueyi,,Qingque,,,,Lynx
Imaginary,5,Dan Heng â€¢ Imbibitor Lunae,Dr. Ratio,,Trailblazer,Welt,Aventurine,Luocha
Imaginary,4,,March 7th,,Yukong,,,
